url,name,category,cost,imageURL,preparationTime,cookingTime,totalTime,yield,isLowNickel,isVegetarian,isLactoseFree,isGlutenFree,isLight,calories,carbs,sugar,protein,fat,saturatedFat,fiber,chol,sodium,bestRating,ratingCount,ratingValue
https://ricette.giallozafferano.it/Tartufi-di-cioccolato.html,"Tartufi di cioccolato","Dolci","Medio",https://www.giallozafferano.it/images/ricette/7/736/foto_hd/hd650x433_wm.jpg,PT60M,PT10M,PT70M,40,0,1,0,0,0,54,3.7,3.6,0.8,4,2.13,0.4,3,10,5,29,4.5
https://ricette.giallozafferano.it/Straccetti-di-pollo-alla-sorrentina.html,"Straccetti di pollo alla sorrentina","Secondi piatti","Basso",https://www.giallozafferano.it/images/ricette/165/16556/foto_hd/hd650x433_wm.jpg,PT20M,PT35M,PT55M,4,0,0,0,0,0,295,2.9,2.9,36.9,15.1,5.25,1.3,92,419,5,75,4.6
https://ricette.giallozafferano.it/Quiche-con-verdure-e-pancetta.html,"Quiche con verdure e pancetta","Torte salate","Medio",https://www.giallozafferano.it/images/ricette/6/608/foto_hd/hd650x433_wm.jpg,PT30M,PT60M,PT90M,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,4.5
https://ricette.giallozafferano.it/Crema-diplomatica.html,"Crema diplomatica","Dolci","Basso",https://www.giallozafferano.it/images/ricette/5/551/foto_hd/hd650x433_wm.jpg,PT20M,PT15M,PT35M,0,1,1,0,0,0,199,22.6,19.4,4.2,10.3,5.27,0.1,155,34,5,48,4.5
https://ricette.giallozafferano.it/Pasta-alla-cenere.html,"Pasta alla cenere","Primi piatti","Molto basso",https://www.giallozafferano.it/images/ricette/185/18523/foto_hd/hd650x433_wm.jpg,PT15M,PT10M,PT25M,4,1,1,0,0,0,534,68,4,18.3,20.9,9.79,2.4,51,584,5,114,4.5
https://ricette.giallozafferano.it/Scaloppine-di-vitello-alla-pizzaiola.html,"Scaloppine di vitello alla pizzaiola","Secondi piatti","Basso",https://www.giallozafferano.it/images/ricette/39/3954/foto_hd/hd650x433_wm.jpg,PT20M,PT15M,PT35M,4,0,0,0,0,0,559,23.8,4.8,50.7,28.2,15.97,2.3,214,529,5,40,4.5
https://ricette.giallozafferano.it/Salvia-fritta-in-pastella.html,"Salvia fritta in pastella","Antipasti","Basso",https://www.giallozafferano.it/images/ricette/8/830/foto_hd/hd650x433_wm.jpg,PT20M,PT10M,PT30M,40,0,1,1,0,0,351,16.4,5.6,2.7,29.5,3.9,4.5,0,558,5,31,4.6
https://ricette.giallozafferano.it/Cheesecake-al-caffe.html,"Cheesecake al caffè","Dolci","Medio",https://www.giallozafferano.it/images/ricette/28/2869/foto_hd/hd650x433_wm.jpg,PT50M,PT10M,PT60M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,4.3
https://ricette.giallozafferano.it/Fagottini-di-pasta-sfoglia-con-cuore-di-mela.html,"Fagottini di pasta sfoglia con cuore di mela","Dolci","Basso",https://www.giallozafferano.it/images/ricette/5/544/foto_hd/hd650x433_wm.jpg,PT10M,PT20M,PT30M,4,0,1,1,0,0,481,63.9,38.1,3.5,23.5,9.09,2.8,9,272,5,43,4.6
https://ricette.giallozafferano.it/Creme-Caramel.html,"Creme Caramel","Dolci","Basso",https://www.giallozafferano.it/images/ricette/2/230/foto_hd/hd650x433_wm.jpg,PT30M,PT60M,PT90M,6,1,1,0,1,0,345,51.3,51.3,8.2,11.8,5.96,0,205,96,5,32,4.2
https://ricette.giallozafferano.it/Zucchine-trifolate.html,"Zucchine trifolate","Contorni","Molto basso",https://www.giallozafferano.it/images/ricette/4/407/foto_hd/hd650x433_wm.jpg,PT10M,PT20M,PT30M,4,1,1,1,1,0,114,2.8,2.6,2.5,10.3,1.5,2.7,0,499,5,33,3.6
https://ricette.giallozafferano.it/Carbonara-di-mare.html,"Carbonara di mare","Primi piatti","Medio",https://www.giallozafferano.it/images/ricette/213/21379/foto_hd/hd650x433_wm.jpg,PT25M,PT20M,PT45M,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,64,4.5
https://ricette.giallozafferano.it/Risotto-ai-funghi.html,"Risotto ai funghi","Primi piatti","Basso",https://www.giallozafferano.it/images/ricette/170/17085/foto_hd/hd650x433_wm.jpg,PT20M,PT50M,PT70M,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,71,4.3
https://ricette.giallozafferano.it/Costine-glassate-con-salsa-bbq.html,"Costine glassate con salsa bbq","Secondi piatti","Medio",https://www.giallozafferano.it/images/ricette/35/3569/foto_hd/hd650x433_wm.jpg,PT25M,PT120M,PT145M,4,0,0,0,0,0,795,56.8,26.2,59.3,36.7,10.57,6.6,179,1061,5,33,4.6
