mbid,artist_mb,tags_mb,listeners_lastfm
516cef4d-0718-4007-9939-f9b38af3f784,Fall Out Boy,rock; alternative rock; hardcore punk; acoustic rock; pop rock; pop punk; pop and chart; emo-pop; post-emo,2726290
83b9cbe7-9857-49e2-ab8e-b57b01038103,Pearl Jam,rock; alternative rock; american; seattle; grunge; hard rock; acoustic rock; pop rock; rock and indie; immortality; twenty,2709816
66c662b6-6e2f-4930-8610-912e24c63ed1,AC/DC,rock; heavy metal; metal; australian; band; hard rock; blues rock; glam rock; rock and roll; australia; blues-rock; classic pop and rock; australie; australien; best rock; rock & roll; want to listen; volts,2691018
8538e728-ca0b-4321-b7e5-cff6565dd4c0,Depeche Mode,electronic; downtempo; synthpop; alternative rock; british; new wave; dark wave; uk; britannique; remix; electronica; synth-pop; producer; post punk; alternative dance; new romantic; english; synth pop; producteur; rock and indie; electronic rock; barrel,2685086
8970d868-0723-483b-a75b-51088913d3d4,Moby,rock; electronic; downtempo; pop; ambient; rave; house; american; techno; electronica; producer; composer; lyricist; pop rock; trip hop; parolier; compositeur; producteur; dance and electronica; play,2663279
72c536dc-7137-4477-a521-567eeb840fa8,Bob Dylan,rock; folk; american; blues; singer-songwriter; country; folk rock; blues rock; country rock; 1980s; 1990s; 1970s; icon; 1960s; 2000s; pop rock; contemporary folk; classic pop and rock; rare; siple twist of fate; 1 13 165900 150 7672 22647 34612 48720 59280 74602 87545 95495 107182 131087 141522 153710; teater konsert; singer/songwriter; pop/rock; dylan bootleg series; pledging my time,2662912
3414d446-735a-443c-931f-10634f57e5b9,Usher,soul; pop rap; hip hop rnb and dance hall; contemporary r&b,2650020
8e68819d-71be-4e7d-b41d-f1df81b01d3f,50 Cent,rap; hip-hop; hip hop; gangsta rap; pop rap; hip hop rnb and dance hall; gangster rap; hip-hop/rap; east coast hip hop; hardcore hip hop,2645222
f82f3a3e-29c2-42ca-b589-bc5dc210fa9e,The Kooks,indie rock; indie pop; pop rock; alternative dance; united kingdom; rock and indie,2643672
847e8284-8582-4b0e-9c26-b042a4f49e57,Placebo,rock; alternative rock; british; uk; britannique; indie rock; rock and indie; pop/rock,2642228
0103c1cc-4a09-4a5d-a344-56ad99a77193,Avril Lavigne,rock; pop; alternative rock; punk; punk rock; electropop; post-grunge; dance-pop; pop rock; pop punk; pop and chart; teen pop; pop/rock; teen punk; mall punk; bubblegum punk; 743219675026,2627363
c234fa42-e6a6-443e-937e-2f4b073538a3,Chris Brown,pop; dance; american; hip-hop; electropop; rnb; dance-pop; pop rap; electro house; hip hop rnb and dance hall; r&b; contemporary r&b; ya man ain't me (produced by the.mp3; wifebeater,2624857
e3e0abcd-7671-4482-a9d8-462f5acc9be5,Incubus,rock; alternative rock; metal; american; indie rock; funk rock; acoustic rock; alternative metal; pop rock; funk metal; make yourself; alternative metal share,2595785
